name,index,type,production_cost,environment_cost,sustainability_cost,CO2,lower_bound,upper_bound,distance,running_hot_threshold
Vrla 1,1,hydro,1.4,0.01,0.7,0.024,10,50,178.83,1.25
Vrla 2,2,hydro,1.4,0.01,0.7,0.024,5,24,175.47,1.25
Vrla 3,3,hydro,1.4,0.01,0.7,0.024,6,29,171.32,1.25
Vrla 4,4,hydro,1.4,0.01,0.7,0.024,5,25,166.94,1.25
HE Pirot,5,hydro,1.4,0.01,0.7,0.024,16,80,162.14,1.25
HEDJ 1,6,hydro,1.4,0.01,0.7,0.024,205,1026,152.78,1.25
HEDJ 2,7,hydro,1.4,0.01,0.7,0.024,54,270,138.4,1.25
Ovčar Banja,8,hydro,1.4,0.01,0.7,0.024,1,6,58.63,1.25
Međuvršje,9,hydro,1.4,0.01,0.7,0.024,1,7,54.81,1.25
Uvac,10,hydro,1.4,0.01,0.7,0.024,7,36,97.83,1.25
Kokin Brod,11,hydro,1.4,0.01,0.7,0.024,4,22,100.27,1.25
Bistrica,12,hydro,1.4,0.01,0.7,0.024,20,102,104.82,1.25
Potpeć,13,hydro,1.4,0.01,0.7,0.024,10,51,116.96,1.25
Bajina Bašta,14,hydro,1.4,0.01,0.7,0.024,84,420,120.77,1.25
Zvornik,15,hydro,1.4,0.01,0.7,0.024,19,96,152.26,1.25
Kolubara A,16,thermal-solid,4.4,1.5,2,0.82,54,271,78.53,1.15
Kostolac A,17,thermal-solid,4.4,1.5,2,0.82,62,310,90.28,1.15
TE Morava,18,thermal-solid,4.4,1.5,2,0.82,24,120,37.7,1.15
TENT A,19,thermal-solid,4.4,1.5,2,0.82,349,1745,101.79,1.15
TENT B1,20,thermal-solid,4.4,1.5,2,0.82,258,1290,108.05,1.15
TENT B2,21,thermal-solid,4.4,1.5,2,0.82,139,697,91.52,1.15
TETO NS,22,thermal-gas,12,1.5,2,0.49,85,424,169.45,1.15
Solarna Elektrana,23,solar,6.6,0,0.1,0.03,0,6,147.16,100000
New Solar,24,solar,6.6,0,0.1,0.03,0,10,0,100000
