solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
0,0.0,0,4619197.168,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,1,4461630.298,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,2,4469923.292,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,3,4386993.36,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,4,4254305.47,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,5,4204547.512,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,6,4672900.0,0.03057853759793701,HEDJ 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,7,5038100.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,8,5071300.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,9,5046400.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,10,5046400.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,11,5029800.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,12,4980000.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,13,4963400.0,0.6435593760903592,TETO NS,thermal-gas,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,14,4921900.0,0.03207775026623007,Vrla 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
0,0.0,15,4921900.0,0.03207775026623007,Vrla 1,hydro,492647328.0000123,72866367.43946257,TENT B1,0.9671517922249849
