name,type,production_cost,distance,lambda,effective_cost
Međuvršje,hydro,1.4,54.81,0.07718020821,1.5170892653747816
Ovčar Banja,hydro,1.4,58.63,0.08255930683,1.525984197586255
Uvac,hydro,1.4,97.83,0.13775843403,1.6236749134507744
Kokin Brod,hydro,1.4,100.27,0.14119429806999997,1.6301708254309095
Bistrica,hydro,1.4,104.82,0.14760133962,1.6424239796152176
Potpeć,hydro,1.4,116.96,0.16469617135999998,1.6760368526975506
Bajina Bašta,hydro,1.4,120.77,0.17006118857,1.6868713460788438
HEDJ 2,hydro,1.4,138.4,0.1948867144,1.7388857258226318
Zvornik,hydro,1.4,152.26,0.21440354865999997,1.7820854429930346
HEDJ 1,hydro,1.4,152.78,0.21513578198,1.7837480265463252
HE Pirot,hydro,1.4,162.14,0.22831598173999998,1.8142140654366956
Vrla 4,hydro,1.4,166.94,0.23507505854,1.8302449353107015
Vrla 3,hydro,1.4,171.32,0.24124271611999998,1.8451223200664713
Vrla 2,hydro,1.4,175.47,0.24708650126999998,1.8594433522064526
Vrla 1,hydro,1.4,178.83,0.25181785503,1.8712020988634204
TE Morava,thermal-solid,4.4,37.7,0.0530869157,4.646677792241803
Kolubara A,thermal-solid,4.4,78.53,0.11058131272999999,4.947051442673698
Kostolac A,thermal-solid,4.4,90.28,0.12712696948,5.040824777664137
TENT B2,thermal-solid,4.4,91.52,0.12887306431999998,5.050928653199512
TENT A,thermal-solid,4.4,101.79,0.14333467239,5.136194798820101
TENT B1,thermal-solid,4.4,108.05,0.15214963504999998,5.189594982670651
New Solar,solar,6.6,0.0,0.0,6.6
Solarna Elektrana,solar,6.6,147.16,0.20722202956,8.325155650247106
TETO NS,thermal-gas,12.0,169.45,0.23860949244999996,15.760637781804716
