solar_size,type,n_plants,production_cost,capacity_MW,dispatched_MWh,alpha_down,pct_down,effect_down,d_emissions_down,d_prod_cost_down,alpha_up,pct_up,effect_up,d_emissions_up,d_prod_cost_up
0,hydro,15,1.4,2244.0,46717.77882772152,,,,,,2.483258113,148.32581130000003,"Solid +3501, Hydro -3253, Gas -551, Solar -18",3.3681564465408487,0.8474160239935635
0,thermal-solid,6,4.4,4433.0,88394.99570578721,0.402696762,-59.73032380000001,"Solid +3859, Hydro -3619, Gas -568, Solar -24",3.7380837621348473,1.0174275821005718,1.271775547,27.177554700000005,"Solid -470, Hydro +353, Gas +145, Solar +18",-0.4082652806653986,0.05818348117023753
0,solar,2,6.6,6.0,30.0,0.78630227,-21.369773000000002,"Solid -135, Hydro +104, Gas +31, Solar +12",-0.12350380479430045,0.0015311260292527606,1.893134308,89.3134308,"Gas +31, Solar -30",0.019718626660392147,0.03639938780988228
0,thermal-gas,1,12.0,424.0,2607.7587041081015,0.52822454,-47.17754600000001,"Solid -3447, Hydro +2211, Gas +1612, Solar -24",-2.6496724855362253,1.463525361338025,,,,,
10,hydro,15,1.4,2244.0,46899.63237737887,,,,,,2.483258113,148.32581130000003,"Solid +3453, Hydro -3153, Gas -540, Solar -65",3.3336445960488126,0.7975533577032401
10,thermal-solid,6,4.4,4433.0,88160.04858748084,0.402696762,-59.73032380000001,"Solid +3870, Hydro -3568, Gas -557, Solar -83",3.76730465981181,0.9900338151250354,1.271775547,27.177554700000005,"Solid -418, Hydro +296, Gas +119, Solar +38",-0.37070748947558574,0.051585484562566286
10,solar,2,6.6,16.0,96.6,0.78630227,-21.369773000000002,"Solid -48, Hydro +35, Gas +11, Solar +5",-0.04431397310756813,0.0010085854552421836,1.893134308,89.3134308,"Solid +235, Hydro -182, Solar -47, Gas -23",0.23588514626688983,0.03963786020129145
10,thermal-gas,1,12.0,424.0,2596.5949190126594,0.52822454,-47.17754600000001,"Solid -3289, Hydro +2072, Gas +1514, Solar +23",-2.550778836908796,1.3918706772011458,,,,,
50,hydro,15,1.4,2244.0,47234.79682867288,,,,,,2.483258113,148.32581130000003,"Solid +2796, Hydro -2412, Gas -394, Solar -199",2.747018193429751,0.5962853757172093
50,thermal-solid,6,4.4,4433.0,87684.49297452338,0.402696762,-59.73032380000001,"Solid +4346, Hydro -3904, Gas -410, Solar -337",4.395386427384151,1.3455848504683843,1.271775547,27.177554700000005,"Solid -1074, Hydro +735, Gas +265, Solar +145",-0.9862352197031243,0.09006224642789107
50,solar,2,6.6,56.0,349.5,0.78630227,-21.369773000000002,"Solid -135, Hydro +92, Solar +25, Gas +25",-0.12891694572538803,0.0002575036430974009,1.893134308,89.3134308,"Solid +711, Hydro -517, Solar -125, Gas -107",0.6956711367178903,0.061896307706654774
50,thermal-gas,1,12.0,424.0,2450.489430338631,0.52822454,-47.17754600000001,"Solid -3054, Hydro +1834, Gas +1164, Solar +276",-2.5411548947115836,1.017192000059386,,,,,
100,hydro,15,1.4,2244.0,48034.4865281074,,,,,,2.483258113,148.32581130000003,"Solid +2908, Hydro -2222, Solar -469, Gas -365",2.929902518098171,0.45949658860093834
100,thermal-solid,6,4.4,4433.0,86515.41875933629,0.402696762,-59.73032380000001,"Solid +5515, Hydro -4703, Solar -743, Gas -365",5.756894218070663,1.7431581980069222,1.271775547,27.177554700000005,"Solid -1086, Hydro +631, Solar +257, Gas +234",-1.0333832041974134,0.12674558050236318
100,solar,2,6.6,106.0,756.0000000000047,0.78630227,-21.369773000000002,"Solid -381, Hydro +242, Solar +83, Gas +71",-0.36985346804822017,0.01220688460688013,1.893134308,89.3134308,"Solid +1880, Hydro -1317, Solar -381, Gas -258",1.881980814534634,0.16921155542062305
100,thermal-gas,1,12.0,424.0,2404.7835807713986,0.52822454,-47.17754600000001,"Solid -3301, Hydro +1609, Gas +1210, Solar +619",-2.82061280605288,1.3152560032134053,,,,,
